Month,"East North Central
(NSA)","East North Central
(SA)","East South Central
(NSA)","East South Central
(SA)","Middle Atlantic
(NSA)","Middle Atlantic
(SA)","Mountain

(NSA)","Mountain

(SA)","New England

(NSA)","New England

(SA)","Pacific

(NSA)","Pacific

(SA)","South Atlantic
(NSA)","South Atlantic
(SA)","West North Central
(NSA)","West North Central
(SA)","West South Central
(NSA)","West South Central
(SA)","USA

(NSA)","USA

(SA)"
,,,,,,,,,,,,,,,,,,,,
1/1/91,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2/1/91,101.01,101.08,100.89,100.42,99.98,100.05,98.44,98.65,101.87,102.32,100.20,100.52,100.57,100.40,100.64,100.65,99.88,99.65,100.42,100.43
3/1/91,101.36,100.98,100.99,100.57,99.94,99.72,100.14,100.49,101.71,101.40,99.98,100.12,101.07,100.64,100.40,100.09,100.77,100.52,100.72,100.49
4/1/91,101.75,101.04,100.89,100.58,99.36,99.07,100.42,100.30,101.07,100.98,100.14,100.08,101.00,100.56,100.92,100.41,100.40,100.07,100.71,100.34
5/1/91,102.39,101.44,101.22,100.81,99.62,99.14,100.73,100.37,99.76,99.73,100.35,100.07,100.87,100.63,100.69,100.19,100.85,100.31,100.87,100.40
6/1/91,102.82,101.56,102.17,101.56,99.68,98.83,102.10,101.30,99.26,98.70,100.41,99.84,101.39,100.73,101.49,100.54,102.01,100.96,101.38,100.53
7/1/91,103.01,101.92,101.98,101.55,100.11,99.07,101.44,101.11,99.24,98.75,100.43,99.82,101.07,100.54,101.36,100.41,101.74,100.81,101.32,100.55
8/1/91,103.17,102.09,101.70,100.82,99.63,98.60,101.96,101.27,98.37,97.89,100.74,99.94,100.84,100.07,101.83,100.74,101.48,100.55,101.27,100.37
9/1/91,102.88,102.06,101.98,101.19,100.18,99.26,101.89,101.46,100.06,99.11,100.37,99.55,100.77,100.16,101.68,100.89,102.09,101.39,101.38,100.62
10/1/91,103.10,102.41,101.95,101.63,99.98,98.96,103.13,102.40,99.30,98.73,100.87,100.34,101.69,100.97,101.90,101.48,101.35,100.63,101.59,100.93
11/1/91,104.01,103.36,102.94,102.32,100.94,100.08,104.13,103.75,98.37,97.36,100.85,100.61,102.12,101.30,101.90,101.50,101.92,101.30,102.09,101.46
12/1/91,103.77,103.47,103.50,103.33,100.66,100.34,103.57,103.37,99.09,98.62,101.05,100.68,101.96,101.62,102.94,102.62,102.06,101.81,102.16,101.86
1/1/92,103.94,103.96,103.39,103.40,100.71,100.73,104.35,104.42,99.87,99.89,100.94,100.94,101.94,101.92,102.48,102.49,102.36,102.36,102.25,102.27
2/1/92,104.40,104.46,104.67,104.22,101.69,101.81,105.05,105.28,99.87,100.37,101.05,101.39,102.86,102.68,102.99,103.00,103.45,103.21,102.93,102.96
3/1/92,105.57,105.19,104.43,103.99,101.35,101.16,105.61,105.97,99.71,99.43,100.64,100.79,102.79,102.37,103.96,103.62,102.75,102.51,103.04,102.82
4/1/92,106.01,105.27,103.85,103.53,101.08,100.79,105.84,105.69,98.53,98.45,100.42,100.34,102.35,101.90,104.17,103.63,103.09,102.74,102.95,102.57
5/1/92,106.57,105.60,104.48,104.07,100.83,100.32,106.59,106.16,97.61,97.56,100.52,100.21,102.36,102.12,104.45,103.89,103.21,102.61,103.11,102.61
6/1/92,107.00,105.67,104.88,104.21,101.20,100.29,107.68,106.81,97.10,96.47,100.32,99.72,102.55,101.88,105.31,104.30,104.05,102.99,103.47,102.58
7/1/92,107.19,106.05,105.39,104.90,101.38,100.27,107.45,107.02,97.26,96.66,100.67,100.01,102.88,102.30,105.76,104.73,104.21,103.26,103.72,102.90
8/1/92,107.63,106.49,106.43,105.48,101.40,100.29,108.72,107.93,98.21,97.68,100.97,100.13,103.94,103.12,106.06,104.91,104.97,103.99,104.34,103.39
9/1/92,107.64,106.77,106.80,105.99,102.15,101.20,108.82,108.31,98.51,97.58,101.03,100.20,104.27,103.62,106.41,105.53,104.90,104.16,104.57,103.77
10/1/92,108.25,107.49,107.06,106.68,102.42,101.39,110.12,109.35,98.52,97.98,100.11,99.59,104.48,103.77,106.17,105.69,105.63,104.90,104.77,104.08
11/1/92,108.52,107.86,107.03,106.39,102.94,102.12,110.42,110.05,99.47,98.50,99.91,99.68,104.40,103.58,106.57,106.10,106.25,105.60,105.01,104.38
12/1/92,108.80,108.50,107.07,106.86,101.56,101.27,111.39,111.16,97.79,97.38,99.54,99.21,103.70,103.37,106.73,106.38,105.29,105.06,104.58,104.28
1/1/93,108.53,108.59,107.08,107.08,100.85,100.92,111.85,112.01,96.71,96.70,98.68,98.71,103.47,103.40,107.40,107.47,105.34,105.36,104.31,104.34
2/1/93,108.37,108.42,107.00,106.61,100.39,100.63,111.90,112.17,94.64,95.16,97.66,98.04,103.39,103.20,107.79,107.84,105.70,105.48,104.02,104.07
3/1/93,109.30,108.95,108.55,108.09,100.73,100.58,112.13,112.51,95.60,95.39,98.15,98.30,104.18,103.77,107.30,106.92,106.37,106.13,104.65,104.44
4/1/93,110.32,109.54,108.80,108.41,101.70,101.41,114.10,113.88,96.57,96.51,98.43,98.34,104.97,104.52,108.90,108.34,106.94,106.56,105.51,105.11
5/1/93,110.92,109.90,109.34,108.87,102.28,101.68,115.25,114.73,96.31,96.14,98.25,97.93,104.85,104.59,109.64,108.98,107.75,107.05,105.87,105.32
6/1/93,112.00,110.59,109.75,108.97,102.49,101.48,116.29,115.37,97.80,96.91,98.57,97.94,105.85,105.14,110.58,109.49,108.68,107.59,106.67,105.70
7/1/93,112.25,111.03,110.07,109.48,102.27,101.05,117.22,116.62,97.44,96.64,97.56,96.84,105.69,105.04,111.04,109.92,109.16,108.18,106.65,105.74
8/1/93,112.71,111.51,111.02,110.01,102.53,101.28,118.52,117.60,97.11,96.41,98.04,97.19,106.12,105.24,111.96,110.72,109.46,108.38,107.13,106.10
9/1/93,113.21,112.27,111.95,111.10,102.28,101.34,119.69,119.08,96.88,95.95,97.70,96.93,106.37,105.67,112.33,111.33,109.53,108.76,107.33,106.50
10/1/93,113.33,112.51,111.49,111.04,102.48,101.51,120.62,119.79,95.94,95.40,97.72,97.26,106.43,105.76,112.62,112.08,110.39,109.64,107.48,106.79
11/1/93,113.58,112.92,112.33,111.72,102.40,101.70,121.15,120.81,97.28,96.40,96.92,96.74,106.68,105.89,113.02,112.50,110.62,109.94,107.66,107.05
12/1/93,113.84,113.55,112.42,112.19,101.91,101.65,121.69,121.48,97.21,96.86,97.10,96.84,107.05,106.74,113.66,113.31,110.90,110.67,107.85,107.57
1/1/94,114.10,114.23,112.97,112.98,102.15,102.27,122.09,122.34,96.10,96.07,96.64,96.73,106.78,106.65,113.72,113.94,110.66,110.70,107.78,107.84
2/1/94,114.45,114.49,114.26,113.94,101.05,101.42,123.46,123.81,96.23,96.89,96.16,96.60,107.11,106.92,113.75,113.85,111.25,111.05,107.92,108.02
3/1/94,115.25,114.91,114.17,113.70,101.66,101.56,124.40,124.77,97.91,97.87,96.39,96.52,107.67,107.24,115.26,114.84,112.41,112.18,108.66,108.46
4/1/94,116.44,115.62,115.33,114.86,101.83,101.52,126.03,125.69,96.78,96.74,96.90,96.77,108.34,107.87,115.72,115.14,112.32,111.89,109.22,108.78
5/1/94,117.26,116.16,115.69,115.15,102.60,101.90,127.83,127.16,97.36,97.10,96.78,96.37,108.34,108.05,116.41,115.61,113.49,112.67,109.78,109.14
6/1/94,118.00,116.49,116.40,115.50,102.82,101.69,129.00,128.01,98.87,97.73,97.14,96.45,109.12,108.33,117.15,115.98,113.78,112.64,110.41,109.36
7/1/94,117.97,116.65,116.56,115.87,103.25,101.89,129.05,128.21,98.22,97.22,97.10,96.26,109.33,108.61,117.67,116.42,113.67,112.64,110.50,109.47
8/1/94,118.46,117.18,117.50,116.42,103.13,101.70,130.27,129.20,97.56,96.72,96.99,96.08,109.87,108.90,118.14,116.80,114.17,113.01,110.83,109.69
9/1/94,118.57,117.55,117.09,116.26,102.25,101.33,130.34,129.58,97.81,96.92,97.11,96.39,109.93,109.16,117.81,116.72,113.86,113.05,110.69,109.82
10/1/94,118.99,118.10,117.63,117.17,102.43,101.52,131.28,130.43,97.15,96.63,96.38,95.97,109.89,109.26,117.72,117.08,114.21,113.48,110.75,110.06
11/1/94,119.31,118.66,118.37,117.80,101.61,101.05,131.17,130.88,97.38,96.70,95.91,95.77,110.64,109.91,118.50,117.95,114.32,113.62,110.88,110.33
12/1/94,118.97,118.70,117.93,117.68,100.41,100.18,131.86,131.72,97.19,96.99,96.08,95.92,110.28,109.98,117.89,117.58,114.13,113.88,110.57,110.31
